サークル名,机,椅子,モニター（大）,モニター（小）,スクリーン,プロジェクター,パーテーション,ドラムリール,延長コード,イーゼル
aiEDU JAPAN 函館,,,,,,,,,,2
FUN AI,1,2,1,,,,,1,1,
FUN-BS（公立はこだて未来大学放送サークル）,2,4,1,,,,,1,1,
FUN3D,2,3,1,,,,1,1,1,
FUNラジ,2,8,1,,,,,1,,
Ichigo鉄道,2,4,,1,,,,,2,
Illustrators,5,3,1,,,,3,1,,
Mariners’ Conference,1,2,,,1,1,,1,,
Sound Create,3,4,1,1,,,,,1,
公立はこだて未来大学スマブラの会,2,6,,,,,,1,3,
バドミントン部,1,2,,,,,2,,,
ランニングサークル,1,2,,,,,,,,
劇団Null,2,4,1,,,,,1,1,
公立はこだて未来大学GATT,2,6,,,,,,,,
公立はこだて未来大学ハードウェアサークル,2,4,,,,,,1,1,
公立はこだて未来大学競技プログラミング部FUN Coder,1,4,1,,,,,,1,
公立はこだて未来大学自動車部,2,4,1,,,,,1,1,
公立はこだて未来大生協学生委員会,2,,,,,,2,,,
函館学生連合～息吹～,3,,1,,,,4,1,1,
未来工房,2,3,,,,,,1,,
未来祭実行委員会,2,4,,,,,2,,,
麻雀サークル,1,4,,,,,,,,
未来大ポケモンだいすきクラブ,2,4,,,,,,,,
茶華道部,2,4,,,,,,,,
FUN Photo,,,,,,,,,,
FUN POKER,,,,,,,,,,
スプラトゥーンサークル FUNRush,4,8,,2,,,,1,,
公立はこだて未来大学天文部,,,,,,,,,,
バレーボールサークル,,,,,,,,,,
硬式テニス部,,,,,,,,,,
軟式野球部,,,,,,,,,,
クリエイティブコーディングサークル「ARTiS」,2,3,1,2,2,1,3,1,2,
