サークル名,展示場所,物品名,個数
FUN AI,1階,机,1
,,椅子,2
,,モニター大,1
,,ドラムリール,1
,,延長コード,1
FUN Photo,1階,申請なし,
FUN3D,1階,机,2
,,椅子,3
,,モニター大,1
,,パーテーション,1
,,ドラムリール,1
,,延長コード,1
Ichiog鉄道,1階,机,2
,,椅子,4
,,モニター小,1
,,延長コード,2
Mariners’ Conference,1階,机,1
,,椅子,2
,,スクリーン,1
,,プロジェクター,1
,,ドラムリール,1
バレーボールサークル,1階,申請なし,
劇団Null,1階,机,2
,,椅子,4
,,モニター大,1
,,延長コード,1
,,ドラムリール,1
公立はこだて未来大学競技プログラミング部FUN Coder,1階,机,1
,,椅子,4
,,モニター大,1
,,延長コード,1
公立はこだて未来大学自動車部,1階,机,2
,,椅子,4
,,モニター大,1
,,ドラムリール,1
,,延長コード,1
公立はこだて未来大学天文部,1階,申請なし,
公立はこだて未来大生協学生委員会,1階,机,2
,,パーテーション,2
茶華道部,1階,机,2
,,椅子,4
軟式野球部,1階,申請なし,
麻雀サークル,1階,机,1
,,椅子,4
未来工房,1階,机,2
,,椅子,3
,,ドラムリール,1
未来祭実行委員会,1階,机,2
,,椅子,4
,,パーテーション,2
FUN-BS（公立はこだて未来大学放送サークル）,3階（モール）,机,2
,,椅子,4
,,モニター大,1
,,ドラムリール,1
,,延長コード,1
Illustrators,3階（モール）,机,5
,,椅子,3
,,モニター大,1
,,パーテーション,3
,,ドラムリール,1
Sound Create,3階（モール）,机,3
,,椅子,4
,,モニター大,1
,,モニター小,1
,,延長コード,1
バドミントン部,3階（モール）,机,1
,,椅子,2
,,パーテーション,2
ランニングサークル,3階（モール）,机,1
,,椅子,2
公立はこだて未来大学ハードウェアサークル,3階（モール）,机,2
,,椅子,4
,,ドラムリール,1
,,延長コード,1
硬式テニス部,3階（モール）,申請なし,
FUNラジ,3階（モール）,机,2
,,椅子,8
,,モニター大,1
,,ドラムリール,1
函館学生連合〜息吹〜,3階（モール）,机,3
,,モニター大,1
,,パーテーション,4
,,ドラムリール,1
,,延長コード,1
aiEDU JAPAN 函館,アトリエ,イーゼル,2
スプラトゥーンサークル FUNRush,アトリエ,机,4
,,椅子,8
,,モニター小,2
,,ドラムリール,1
公立はこだて未来大学スマブラの会,アトリエ,机,2
,,椅子,6
,,ドラムリール,1
,,延長コード,3
クリエイティブコーディングサークル「ARTiS」,アトリエ,机,2
,,椅子,3
,,モニター大,1
,,モニター小,2
,,スクリーン,2
,,プロジェクター,1
,,延長コード,2
,,ドラムリール,1
,,パーテーション,3
FUN POKER,デルタ,申請なし,
公立はこだて未来大学GATT,デルタ,机,2
,,椅子,6
未来大ポケモンだいすきクラブ,デルタ,机,2
,,椅子,4
